rep,vial,male_geno,intro,time_start,time_stop,d_1,d_2,d_3,d_4,e_tot,mated,p_1,p_2,p_3,p_4,p_tot,hatch_t,h_1,h_2,h_3,h_4,lat,dur
2,78,Obp56g/CyO,12:10:00,14:33:00,14:55:00,0,0,0,0,0,N,0,0,0,0,0,NA,NA,NA,NA,NA,2:23:00,0:22:00
2,79,Obp56g/CyO,12:10:00,12:34:00,12:58:00,66,74,75,55,270,N,57,66,61,43,227,0.863636364,0.891891892,0.813333333,0.781818182,0.840740741,0:24:00,0:24:00
2,80,Df/WT,12:08:00,13:17:00,13:40:00,69,78,80,71,298,N,65,73,74,61,273,0.942028986,0.935897436,0.925,0.85915493,0.916107383,1:09:00,0:23:00
2,81,Obp56g/Df,12:13:00,15:21:00,15:49:00,76,96,82,26,280,Y,69,78,59,7,213,0.907894737,0.8125,0.719512195,0.269230769,0.760714286,3:08:00,0:28:00
2,83,Obp56g/CyO,12:10:00,14:04:00,14:23:00,54,76,43,46,219,N,42,66,37,35,180,0.777777778,0.868421053,0.860465116,0.760869565,0.821917808,1:54:00,0:19:00
2,85,Obp56g/Df,12:02:00,12:45:00,13:04:00,37,6,0,0,43,Y,14,1,0,0,15,0.378378378,0.166666667,NA,NA,0.348837209,0:43:00,0:19:00
2,86,Obp56g/Df,12:13:00,13:57:00,14:18:00,36,4,16,0,55,Y,31,4,16,0,51,0.861111111,1,1,NA,0.927272727,1:44:00,0:21:00
2,87,Obp56g/Df,12:13:00,13:13:00,13:34:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,1:00:00,0:21:00
2,88,WT/CyO,12:06:00,12:21:00,12:43:00,66,103,93,65,327,N,63,95,89,50,297,0.954545455,0.922330097,0.956989247,0.769230769,0.908256881,0:15:00,0:22:00
2,90,Obp56g/Df,12:13:00,12:55:00,13:13:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,0:42:00,0:18:00
2,91,WT/CyO,12:06:00,13:19:00,13:40:00,63,75,38,42,218,N,63,69,34,38,204,1,0.92,0.894736842,0.904761905,0.935779817,1:13:00,0:21:00
2,92,WT/CyO,12:06:00,12:33:00,12:50:00,28,19,23,15,85,N,24,18,21,15,78,0.857142857,0.947368421,0.913043478,1,0.917647059,0:27:00,0:17:00
3,177,Obp56g/Df,10:59:00,15:56:00,16:17:00,0,0,6,10,16,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4:57:00,0:21:00
3,178,Df/WT,11:04:00,15:28:00,15:45:00,53,61,77,42,233,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4:24:00,0:17:00
3,179,Df/WT,11:04:00,13:30:00,13:52:00,0,54,6,3,63,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2:26:00,0:22:00
3,180,WT/CyO,11:01:00,12:30:00,12:58:00,61,76,98,62,297,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:29:00,0:28:00
3,181,Obp56g/CyO,11:18:00,11:52:00,12:21:00,87,93,99,57,336,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:34:00,0:29:00
3,182,WT/CyO,11:01:00,11:23:00,11:37:00,39,75,56,34,204,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:22:00,0:14:00
3,183,Obp56g/Df,10:59:00,15:23:00,15:45:00,0,0,0,0,0,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4:24:00,0:22:00
3,184,Obp56g/Df,11:13:00,16:31:00,16:57:00,69,41,0,0,110,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5:18:00,0:26:00
3,185,WT/CyO,11:01:00,12:42:00,13:03:00,62,0,0,0,62,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:41:00,0:21:00
3,186,WT/CyO,11:01:00,12:13:00,12:34:00,76,97,92,48,313,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:12:00,0:21:00
3,187,Obp56g/Df,11:13:00,14:06:00,14:31:00,0,0,0,0,0,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2:53:00,0:25:00
3,188,Obp56g/Df,11:13:00,11:57:00,12:29:00,3,0,0,0,3,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:44:00,0:32:00
3,189,Df/WT,11:18:00,12:47:00,13:17:00,67,99,106,84,356,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:29:00,0:30:00
3,190,Obp56g/CyO,11:07:00,12:32:00,12:56:00,77,103,92,72,344,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:25:00,0:24:00
3,191,WT/CyO,11:01:00,13:53:00,14:16:00,25,10,6,0,41,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2:52:00,0:23:00
3,192,Obp56g/Df,11:13:00,12:22:00,12:41:00,70,70,74,29,243,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:09:00,0:19:00
3,193,Obp56g/CyO,11:07:00,14:16:00,14:37:00,70,78,87,41,276,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3:09:00,0:21:00
3,194,WT/CyO,11:15:00,12:30:00,12:58:00,53,68,78,64,263,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:15:00,0:28:00
3,195,Obp56g/CyO,11:07:00,13:53:00,14:16:00,74,90,96,54,314,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2:46:00,0:23:00
3,196,WT/CyO,11:15:00,12:17:00,12:42:00,62,78,96,66,302,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:02:00,0:25:00
3,197,Obp56g/Df,10:59:00,11:57:00,12:29:00,86,102,102,6,296,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:58:00,0:32:00
3,198,Df/WT,11:18:00,16:17:00,16:48:00,45,71,88,74,278,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4:59:00,0:31:00
3,199,Df/WT,11:18:00,13:41:00,14:11:00,66,69,71,46,252,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2:23:00,0:30:00
3,200,Obp56g/Df,10:59:00,16:48:00,17:09:00,10,0,25,16,51,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5:49:00,0:21:00
3,201,Obp56g/CyO,11:07:00,12:56:00,13:17:00,71,78,94,75,318,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:49:00,0:21:00
3,202,WT/CyO,11:15:00,14:30:00,15:00:00,24,30,80,58,192,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3:15:00,0:30:00
3,203,Obp56g/CyO,11:07:00,12:20:00,12:39:00,73,89,94,69,325,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:13:00,0:19:00
3,204,Obp56g/Df,11:25:00,16:48:00,17:12:00,16,41,50,29,136,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5:23:00,0:24:00
3,205,Obp56g/Df,11:13:00,15:56:00,16:16:00,73,86,94,43,296,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4:43:00,0:20:00
3,206,Df/WT,10:46:00,12:27:00,12:56:00,72,81,98,67,318,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:41:00,0:29:00
3,207,Obp56g/CyO,11:07:00,12:27:00,12:50:00,71,78,84,60,293,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:20:00,0:23:00
3,208,Obp56g/CyO,11:07:00,11:57:00,12:20:00,64,80,104,64,312,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:50:00,0:23:00
3,209,WT/CyO,11:26:00,14:31:00,14:47:00,64,74,78,47,263,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3:05:00,0:16:00
3,210,WT/CyO,11:15:00,13:46:00,14:16:00,57,69,64,55,245,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2:31:00,0:30:00
3,211,Obp56g/Df,11:25:00,12:29:00,NA,83,89,68,19,259,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:04:00,NA
3,212,Obp56g/Df,11:25:00,15:23:00,15:45:00,16,19,32,24,91,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3:58:00,0:22:00
3,213,Obp56g/CyO,10:50:00,13:35:00,14:00:00,76,117,105,67,365,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2:45:00,0:25:00
3,214,Obp56g/CyO,11:07:00,12:03:00,12:27:00,53,84,82,36,255,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:56:00,0:24:00
